Id_Recurso,Tipo_Recurso,Titulo,Descripcion,Formato,Tamaño,Fecha_Publicacion,Tamaño_Descarga,Id_Usuario
1,Video,Emulación 24/7 Sincronizada,Video tutorial en tiempo real.,Audio,205 MB,2022-07-27,210 MB,1
2,Artículo,Sistema de clave pública instruccional,Conjunto de instrucciones digno de un sistema de clave pública.,Audio,54 MB,2020-02-03,357 MB,2
3,Video,Infraestructura integral empresarial,Infraestructura integral que abarca toda la empresa.,Video,478 MB,2025-03-03,40 MB,7
4,Guía,Almacén de datos regional polarizado,Guía de almacén de datos regional polarizado.,Audio,379 MB,2022-09-24,466 MB,7
5,Video,Funcionalidades estables optimizadas,Explicación detallada de funcionalidades estables optimizadas.,Video,399 MB,2021-09-09,430 MB,1
6,Video,Alianza dinámica multicanal,Descripción de alianza dinámica multicanal.,PDF,365 MB,2020-07-02,211 MB,6
7,Artículo,Grupo focal totalmente exudante,Enfoque intensivo de grupo focal.,Audio,40 MB,2023-06-24,97 MB,6
8,Guía,Conjunto de herramientas secundarias simplificado,Herramientas secundarias simplificadas.,PDF,91 MB,2023-05-29,411 MB,2
9,Artículo,Protocolo basado en contenido personalizable,Protocolo personalizable basado en contenido.,Audio,470 MB,2022-11-02,9 MB,4
10,Artículo,Método LAN totalmente configurable,Método metódico para redes de área local completamente configurable.,Video,271 MB,2023-06-02,300 MB,1 
